idx,x_in,y_err,y_hat,residual_abs,gt_mask,rnn_mask,pred_owner
0,0.1964001236,1.1502421829,0.33883363008499146,0.8114085528150086,1,1,0
1,1.7354010926,1.3173462311,1.3979004621505737,0.0805542310505738,0,0,0
2,1.7618011092,1.3273285609,1.412441372871399,0.08511281197139886,0,0,0
3,0.3322002091,0.5763681191,0.44592562317848206,0.1304424959215179,0,0,0
4,1.8058011369,1.3438010034,1.4363609552383423,0.0925599518383422,0,0,0
5,0.4234002666,0.6506921439,0.5162179470062256,0.13447419689377438,0,0,0
6,0.5092003206,0.7135827355,0.5813487768173218,0.13223395868267818,0,0,0
7,0.3334002099,0.5774081829,0.44685834646224976,0.1305498364377502,0,0,0
8,0.9376005903,0.9682977796,0.8936092257499695,0.07468855385003048,0,0,0
9,0.2754001734,0.5247858353,0.4015198051929474,0.12326603010705262,0,0,0
10,1.1368007157,1.0662085703,1.0304571390151978,0.03575143128480218,0,0,0
11,0.811600511,0.9008887336,0.8040717840194702,0.09681694958052978,0,0,0
12,1.701201071,1.304300989,1.3788520097732544,0.07455102077325448,0,0,0
13,0.9174005776,0.9578103032,0.8793985843658447,0.07841171883415532,0,0,0
14,1.6362010301,1.2791407388,1.3419874906539917,0.06284675185399169,0,0,0
15,1.0560006648,1.0276189297,0.9757014513015747,0.05191747839842531,0,0,0
16,1.9466012255,0.6881348696,1.5102909803390503,0.8221561107390503,1,1,0
17,1.7628011098,1.327705204,1.4129892587661743,0.0852840547661744,0,0,0
18,1.7328010909,1.3163590278,1.396460771560669,0.08010174376066903,0,0,0
19,1.9062012001,1.3806524542,1.4894813299179077,0.10882887571790767,0,0,0
20,1.0204006424,1.0101488219,0.9512417316436768,0.05890709025632335,0,0,0
21,0.6204003906,0.7876549945,0.6644653677940369,0.12318962670596312,0,0,0
22,1.860001171,1.3638185989,1.4652880430221558,0.10146944412215575,0,0,0
23,0.220800139,0.4698937526,0.35831862688064575,0.11157512571935424,0,0,0
24,0.5690003582,0.7543211239,0.6262220144271851,0.1280991094728149,0,0,0
25,1.0970006906,1.0473780073,1.0036206245422363,0.04375738275776375,0,0,0
26,0.856200539,0.9253110494,0.8360044956207275,0.08930655377927244,0,0,0
27,0.8912005611,0.9440341946,0.8608828783035278,0.08315131629647221,0,0,0
28,0.2758001736,0.5251668054,0.4018343389034271,0.12333246649657292,0,0,0
29,0.5186003265,0.7201391021,0.5884300470352173,0.1317090550647827,0,0,0
30,1.6918010651,1.3006925327,1.3735743761062622,0.07288184340626214,0,0,0
31,0.5220003286,0.7224959019,0.5909886956214905,0.13150720627850954,0,0,0
32,1.2450007838,1.8228676789,1.1020208597183228,0.7208468191816773,1,1,0
33,1.9920012541,1.411382745,1.5332947969436646,0.1219120519436645,0,0,0
34,1.8634011731,1.3650645306,1.4670830965042114,0.10201856590421143,0,0,0
35,1.1026006942,1.0500479485,1.0074127912521362,0.04263515724786382,0,0,0
36,0.9384005908,0.9687107876,0.8941707015037537,0.0745400860962463,0,0,0
37,0.4824003037,0.6945504327,0.5611020922660828,0.1334483404339173,0,0,0
38,0.6628004173,0.8141255537,0.6957880258560181,0.11833752784398188,0,0,0
39,1.2530007889,1.1193751777,1.10722815990448,0.012147017795520076,0,0,0
40,1.9562012316,1.3986426387,1.5151886940002441,0.1165460553002442,0,0,0
41,0.6886004335,0.8298195186,0.7147477865219116,0.1150717320780884,0,0,0
42,1.7526011034,1.3238584148,1.4073902368545532,0.08353182205455312,0,0,0
43,1.6242010226,1.274441455,1.3350869417190552,0.06064548671905512,0,0,0
44,0.7522004736,0.8672949169,0.7611590623855591,0.10613585451444096,0,0,0
45,1.3146008276,1.1465604333,1.14692223072052,0.00036179742052011576,0,0,0
46,0.355800224,0.5964899193,0.46422868967056274,0.1322612296294372,0,0,0
47,0.5414003409,0.735799117,0.605562686920166,0.130236430079834,0,0,0
48,0.68300043,0.1193667529,0.7106389999389648,0.5912722470389649,1,1,0
49,0.9122005743,0.9550919193,0.8757311105728149,0.0793608087271851,0,0,0
50,1.6846010606,1.2979218233,1.3695200681686401,0.07159824486864008,0,0,0
