idx,x_in,y_err,y_hat,residual_abs,gt_mask,rnn_mask,pred_owner,missed_fn,detected_tp,correct_tn,fp
0,0.196400124,0.443170535,0.33883363008499146,0.10433690531500855,0,0,0,185,315,9500,0
1,1.735401093,1.317346231,1.3979004621505737,0.080554231,0,0,0,,,,
2,1.761801109,1.327328561,1.412441372871399,0.085112812,0,0,0,,,,
3,0.332200209,0.576368119,0.44592562317848206,0.1304424959215179,0,0,0,,,,
4,1.805801137,1.343801003,1.4363609552383423,0.092559952,0,0,0,,,,
5,0.423400267,0.650692144,0.5162179470062256,0.13447419689377438,0,0,0,,,,
6,0.509200321,0.713582736,0.5813487768173218,0.13223395868267818,0,0,0,,,,
7,0.33340021,0.577408183,0.44685834646224976,0.1305498364377502,0,0,0,,,,
8,0.93760059,0.96829778,0.8936092257499695,0.074688554,0,0,0,,,,
9,0.275400173,0.524785835,0.4015198051929474,0.12326603010705262,0,0,0,,,,
10,1.136800716,1.06620857,1.0304571390151978,0.035751431,0,0,0,,,,
11,0.811600511,0.999950312,0.8040717840194702,0.19587852778052983,1,0,0,,,,
12,1.701201071,1.304300989,1.3788520097732544,0.074551021,0,0,0,,,,
13,0.917400578,0.957810303,0.8793985843658447,0.078411719,0,0,0,,,,
14,1.63620103,1.279140739,1.3419874906539917,0.062846752,0,0,0,,,,
15,1.056000665,1.02761893,0.9757014513015747,0.051917478,0,0,0,,,,
16,1.946601226,1.395206517,1.5102909803390503,0.1150844632390502,0,0,0,,,,
17,1.76280111,1.327705204,1.4129892587661743,0.085284055,0,0,0,,,,
18,1.732801091,0.999950312,1.396460771560669,0.3965104597606689,1,1,0,,,,
19,1.9062012,1.380652454,1.4894813299179077,0.10882887571790767,0,0,0,,,,
20,1.020400642,1.010148822,0.9512417316436768,0.05890709,0,0,0,,,,
21,0.620400391,0.787654995,0.6644653677940369,0.12318962670596312,0,0,0,,,,
22,1.860001171,1.363818599,1.4652880430221558,0.10146944412215575,0,0,0,,,,
23,0.220800139,0.469893753,0.35831862688064575,0.11157512571935424,0,0,0,,,,
24,0.569000358,0.754321124,0.6262220144271851,0.1280991094728149,0,0,0,,,,
25,1.097000691,1.047378007,1.0036206245422363,0.043757383,0,0,0,,,,
26,0.856200539,0.925311049,0.8360044956207275,0.089306554,0,0,0,,,,
27,0.891200561,0.944034195,0.8608828783035278,0.083151316,0,0,0,,,,
28,0.275800174,0.525166805,0.4018343389034271,0.12333246649657292,0,0,0,,,,
29,0.518600327,0.720139102,0.5884300470352173,0.1317090550647827,0,0,0,,,,
30,1.691801065,1.300692533,1.3735743761062622,0.072881843,0,0,0,,,,
31,0.522000329,0.722495902,0.5909886956214905,0.13150720627850954,0,0,0,,,,
32,1.245000784,1.115796031,1.1020208597183228,0.013775172,0,0,0,,,,
33,1.992001254,1.411382745,1.5332947969436646,0.1219120519436645,0,0,0,,,,
34,1.863401173,1.365064531,1.4670830965042114,0.10201856590421143,0,0,0,,,,
35,1.102600694,1.050047949,1.0074127912521362,0.042635157,0,0,0,,,,
36,0.938400591,0.968710788,0.8941707015037537,0.074540086,0,0,0,,,,
37,0.482400304,0.694550433,0.5611020922660828,0.1334483404339173,0,0,0,,,,
38,0.662800417,0.814125554,0.6957880258560181,0.11833752784398188,0,0,0,,,,
39,1.253000789,1.119375178,1.10722816,0.012147017795520076,0,0,0,,,,
40,1.956201232,0.999950312,1.5151886940002441,0.5152383822002441,1,1,0,,,,
41,0.688600434,0.829819519,0.7147477865219116,0.1150717320780884,0,0,0,,,,
42,1.752601103,1.323858415,1.4073902368545532,0.083531822,0,0,0,,,,
43,1.624201023,1.274441455,1.3350869417190552,0.060645487,0,0,0,,,,
44,0.752200474,0.867294917,0.7611590623855591,0.10613585451444096,0,0,0,,,,
